Submitted Date,Responded To,Resolved Date,Owner,Status,Account,Priority
5/1/26,5/1/26,5/2/26,Ann,Resolved,Synergy,High
5/2/26,5/3/26,,Robin,Open,Apex,Medium
5/3/26,5/3/26,5/3/26,Tomas,Resolved,Humbolt,High
5/4/26,5/5/26,,Tomas,Open,Synergy,Medium
5/5/26,5/5/26,5/5/26,Ann,Resolved,Synergy,High
5/6/26,5/6/26,5/6/26,Robin,Resolved,Aquire,High
5/7/26,5/7/26,5/9/26,Suzanne,Resolved,Enterprise,High
5/8/26,5/8/26,,Suzanne,Open,Synergy,Medium
5/9/26,5/9/26,5/9/26,Robin,Resolved,Apex,High
5/10/26,5/10/26,5/10/26,Ann,Resolved,Apex,Medium
5/11/26,5/11/26,5/11/26,Tomas,Resolved,Humbolt,High
5/12/26,5/13/26,,Greg,Open,Carpenter,Low
5/13/26,5/13/26,5/13/26,Greg,Resolved,Humbolt,Low
5/14/26,5/15/26,,Ann,Open,Carpenter,High
5/15/26,5/15/26,5/17/26,Tomas,Resolved,Synergy,High
