account_id,account_name,industry,plan_tier,mrr,employee_count,csm_owner,contract_start_date,active_users_last_30,login_trend_pct,days_since_last_login,adoption_pct,features_adopted,total_features_tracked,ticket_count_90d,escalation_rate_pct,open_tickets,avg_csat,engagement_score,adoption_score,support_score,health_score,risk_tier,health_quartile,health_percentile
29,Kestrel Networks,Real Estate,Starter,1136,47,Amanda Schembri,2024-12-17,0,-100.0,39,12.5,1,8,11,36.4,2,2.3,0.0,3.8,10.5,14.3,Critical,1,0.0
28,Emberly Industries,Media,Starter,657,28,Sofia Torres,2023-12-27,0,-100.0,51,25.0,2,8,9,55.6,2,3.31,0.0,7.5,12.7,20.2,Critical,1,2.0
39,Harbor Industries,Healthcare,Growth,2757,412,Sofia Torres,2026-06-08,24,-68.0,4,0.0,0,8,13,76.9,2,2.36,20.7,0.0,2.8,23.5,Critical,1,3.0
24,Summit Industries,FinTech,Growth,1610,486,Amanda Schembri,2025-07-24,86,-55.0,1,0.0,0,8,13,53.8,3,1.72,27.0,0.0,1.1,28.1,Critical,1,5.0
44,Ironclad Partners,Manufacturing,Starter,347,44,Marcus Webb,2023-11-22,3,0.0,18,12.5,1,8,11,63.6,0,2.6,13.5,3.8,11.9,29.2,Critical,1,7.0
54,Summit Co.,Logistics,Starter,1151,10,Amanda Schembri,2023-06-03,1,0.0,23,12.5,1,8,13,38.5,1,2.24,13.5,3.8,12.2,29.5,Critical,1,8.0
46,Sable Industries,SaaS/Tech,Starter,555,13,Sofia Torres,2022-09-13,2,0.0,4,12.5,1,8,13,53.8,4,1.56,27.5,3.8,0.0,31.3,Critical,1,10.0
11,Beacon Labs,Retail,Enterprise,31216,8168,Priya Nair,2023-06-24,679,-54.2,0,0.0,0,8,13,69.2,1,2.06,27.1,0.0,5.0,32.1,Critical,1,12.0
10,Trellis Networks,Logistics,Enterprise,20373,8585,Amanda Schembri,2025-12-07,1929,-27.3,0,12.5,1,8,10,70.0,4,3.55,29.8,3.8,6.0,39.6,Critical,1,14.0
21,Redwood Group,SaaS/Tech,Enterprise,12416,9356,Amanda Schembri,2026-05-12,975,-60.3,0,25.0,2,8,13,46.2,2,1.99,26.5,7.5,6.7,40.7,At Risk,1,15.0
35,Solace Co.,Logistics,Enterprise,23485,2271,Amanda Schembri,2024-04-19,508,-38.9,0,12.5,1,8,11,54.5,0,2.0,28.6,3.8,10.1,42.5,At Risk,1,17.0
13,Pinehurst Holdings,Real Estate,Enterprise,25558,3758,Priya Nair,2025-08-02,868,-41.5,0,12.5,1,8,11,36.4,3,2.92,28.4,3.8,11.7,43.9,At Risk,1,19.0
5,Solace Networks,Education,Growth,1769,166,Jordan Lee,2025-12-30,40,-48.7,1,12.5,1,8,10,40.0,1,2.84,27.6,3.8,15.5,46.9,At Risk,1,20.0
32,Cascade Solutions,Real Estate,Growth,1279,403,Amanda Schembri,2023-05-21,54,-47.6,1,25.0,2,8,10,40.0,3,3.3,27.7,7.5,13.3,48.5,At Risk,1,22.0
27,Palisade Holdings,SaaS/Tech,Starter,1069,34,Amanda Schembri,2025-11-19,13,-35.0,4,25.0,2,8,7,28.6,1,3.0,24.0,7.5,18.8,50.3,At Risk,1,24.0
6,Lumen Technologies,Media,Growth,4188,231,Priya Nair,2022-09-08,61,-22.8,0,50.0,4,8,7,57.1,2,2.9,30.2,15.0,10.0,55.2,At Risk,2,25.0
60,Nimbus Industries,Media,Growth,5160,472,Jordan Lee,2024-08-20,67,-44.2,0,50.0,4,8,10,40.0,1,2.31,28.1,15.0,12.4,55.5,At Risk,2,27.0
58,Emberly Networks,Healthcare,Enterprise,28754,6571,Sofia Torres,2026-01-21,2679,-28.5,0,12.5,1,8,8,25.0,1,3.54,29.7,3.8,22.5,56.0,At Risk,2,29.0
33,Bright Networks,Real Estate,Starter,430,28,Jordan Lee,2024-06-09,11,-8.3,4,37.5,3,8,7,57.1,0,3.93,26.7,11.3,18.6,56.6,At Risk,2,31.0
57,Palisade Systems,Media,Growth,4449,353,Priya Nair,2025-11-15,106,-42.7,0,50.0,4,8,9,44.4,1,3.0,28.2,15.0,15.6,58.8,At Risk,2,32.0
23,Everline Solutions,Media,Growth,5752,147,Amanda Schembri,2025-03-23,30,-23.1,0,25.0,2,8,7,42.9,0,3.72,30.2,7.5,21.4,59.1,At Risk,2,34.0
52,Cobalt Co.,Logistics,Growth,5028,323,Sofia Torres,2024-03-27,198,-12.8,0,25.0,2,8,9,33.3,1,3.6,31.2,7.5,20.8,59.5,At Risk,2,36.0
15,Willow Networks,Healthcare,Starter,797,13,Jordan Lee,2023-05-13,3,50.0,15,37.5,3,8,4,0.0,0,5.0,18.5,11.3,30.0,59.8,At Risk,2,37.0
38,Orbit Holdings,Retail,Growth,1513,272,Marcus Webb,2024-09-07,89,-29.4,0,50.0,4,8,7,57.1,0,3.3,29.6,15.0,17.4,62.0,At Risk,2,39.0
41,Beacon Technologies,Education,Growth,5741,265,Jordan Lee,2022-08-24,111,-10.5,0,62.5,5,8,7,57.1,0,2.8,31.5,18.8,14.4,64.7,At Risk,2,41.0
48,Fathom Partners,Media,Enterprise,21679,1769,Priya Nair,2022-06-11,1031,4.9,0,62.5,5,8,5,60.0,2,4.3,33.0,18.8,13.0,64.8,At Risk,2,42.0
30,Nimbus Industries,Retail,Starter,919,18,Marcus Webb,2023-08-11,2,-33.3,11,75.0,6,8,5,20.0,0,4.45,17.2,22.5,26.0,65.7,At Risk,2,44.0
4,Anchor Group,Education,Enterprise,8847,2545,Amanda Schembri,2024-04-27,964,-9.9,0,37.5,3,8,6,33.3,0,3.95,31.5,11.3,23.3,66.1,At Risk,2,46.0
16,Sable Networks,Logistics,Enterprise,26428,6618,Sofia Torres,2023-12-27,5153,-2.4,0,50.0,4,8,5,40.0,1,3.8,32.3,15.0,19.5,66.8,At Risk,2,47.0
36,Lumen Partners,Manufacturing,Enterprise,26000,887,Jordan Lee,2022-09-29,403,-12.6,0,62.5,5,8,4,50.0,1,3.6,31.2,18.8,17.5,67.5,At Risk,2,49.0
47,Northwind Networks,Education,Enterprise,33966,3107,Marcus Webb,2023-10-13,1322,-15.5,0,50.0,4,8,4,25.0,1,4.43,31.0,15.0,22.5,68.5,At Risk,3,51.0
22,Cobalt Partners,Retail,Growth,2951,134,Marcus Webb,2026-06-07,46,-8.0,1,75.0,6,8,4,50.0,2,4.75,31.7,22.5,15.0,69.2,At Risk,3,53.0
50,Halcyon Technologies,Education,Growth,1710,249,Marcus Webb,2023-03-20,113,-8.9,0,37.5,3,8,5,0.0,1,4.1,31.6,11.3,27.5,70.4,Healthy,3,54.0
20,Halcyon Co.,Healthcare,Starter,494,13,Marcus Webb,2024-11-18,3,-25.0,1,75.0,6,8,5,40.0,0,3.4,30.0,22.5,21.4,73.9,Healthy,3,56.0
43,Pinehurst Partners,Real Estate,Growth,2590,313,Jordan Lee,2025-12-02,148,-11.4,0,75.0,6,8,8,25.0,2,4.33,31.4,22.5,20.0,73.9,Healthy,3,56.0
17,Northwind Partners,Manufacturing,Starter,321,42,Amanda Schembri,2026-01-17,37,-2.6,1,50.0,4,8,4,0.0,1,4.8,32.2,15.0,27.5,74.7,Healthy,3,59.0
40,Trellis Industries,Manufacturing,Growth,3904,484,Sofia Torres,2024-10-04,298,3.5,0,62.5,5,8,5,20.0,1,4.7,32.9,18.8,23.5,75.2,Healthy,3,61.0
55,Driftwood Co.,Manufacturing,Growth,1529,152,Jordan Lee,2022-12-17,49,2.1,0,50.0,4,8,4,0.0,1,4.2,32.7,15.0,27.5,75.2,Healthy,3,61.0
1,Vertex Group,FinTech,Growth,3028,396,Sofia Torres,2025-12-15,389,-2.0,0,75.0,6,8,6,33.3,0,3.6,32.3,22.5,23.3,78.1,Healthy,3,64.0
9,Harbor Solutions,Logistics,Enterprise,15363,4540,Sofia Torres,2023-04-19,5430,-8.6,0,75.0,6,8,5,0.0,2,4.85,31.6,22.5,25.0,79.1,Healthy,3,66.0
2,Cascade Systems,Healthcare,Starter,817,50,Jordan Lee,2024-02-03,25,8.7,1,87.5,7,8,5,40.0,1,4.08,33.4,26.3,19.5,79.2,Healthy,3,68.0
26,Lattice Group,Logistics,Growth,5482,154,Priya Nair,2025-02-08,89,20.3,0,87.5,7,8,5,20.0,3,4.1,34.5,26.3,18.5,79.3,Healthy,3,69.0
53,Everline Systems,Healthcare,Growth,4982,183,Jordan Lee,2024-08-10,156,8.3,0,87.5,7,8,4,50.0,0,,33.3,26.3,20.0,79.6,Healthy,3,71.0
42,Meridian Holdings,Logistics,Growth,3689,270,Marcus Webb,2023-11-02,136,0.7,0,75.0,6,8,4,25.0,0,4.23,32.6,22.5,25.0,80.1,Healthy,3,73.0
7,Granite Group,Energy,Growth,3205,244,Sofia Torres,2022-11-09,156,14.7,0,62.5,5,8,4,0.0,1,4.95,34.0,18.8,27.5,80.3,Healthy,3,75.0
59,Kestrel Systems,Logistics,Enterprise,29736,8032,Jordan Lee,2022-06-24,4230,11.8,0,75.0,6,8,4,25.0,0,4.38,33.7,22.5,25.0,81.2,Healthy,4,76.0
19,Quartz Solutions,Logistics,Starter,399,32,Amanda Schembri,2026-02-21,4,33.3,14,100.0,8,8,4,0.0,1,5.0,23.8,30.0,27.5,81.3,Healthy,4,78.0
3,Bright Holdings,FinTech,Enterprise,28298,4027,Amanda Schembri,2024-07-22,3749,-11.2,0,75.0,6,8,3,0.0,1,3.5,31.4,22.5,27.5,81.4,Healthy,4,80.0
45,Willow Networks,Manufacturing,Growth,5249,125,Marcus Webb,2025-11-05,142,1.4,0,87.5,7,8,5,20.0,1,4.2,32.6,26.3,23.5,82.4,Healthy,4,81.0
14,Ironclad Industries,Real Estate,Enterprise,38021,6447,Jordan Lee,2024-09-20,11785,-0.6,0,100.0,8,8,3,33.3,1,,32.4,30.0,20.8,83.2,Healthy,4,83.0
8,Orbit Co.,FinTech,Starter,332,22,Priya Nair,2023-04-07,14,7.7,1,75.0,6,8,3,0.0,1,,33.3,22.5,27.5,83.3,Healthy,4,85.0
25,Driftwood Group,Retail,Starter,369,12,Sofia Torres,2023-03-14,8,700.0,4,100.0,8,8,5,40.0,1,4.5,35.0,30.0,19.5,84.5,Healthy,4,86.0
12,Meridian Systems,Healthcare,Growth,3385,200,Marcus Webb,2025-07-23,253,-3.1,0,75.0,6,8,1,0.0,0,,32.2,22.5,30.0,84.7,Healthy,4,88.0
49,Quartz Co.,Education,Enterprise,15884,3003,Jordan Lee,2022-06-26,2448,1.3,0,87.5,7,8,5,0.0,1,4.47,32.6,26.3,27.5,86.4,Healthy,4,90.0
34,Anchor Group,Education,Enterprise,16128,3162,Marcus Webb,2025-06-14,2487,11.1,0,87.5,7,8,3,0.0,1,3.5,33.6,26.3,27.5,87.4,Healthy,4,92.0
51,Redwood Co.,Media,Enterprise,20453,4971,Marcus Webb,2024-01-01,8142,3.7,0,100.0,8,8,3,0.0,2,,32.9,30.0,25.0,87.9,Healthy,4,93.0
56,Lattice Solutions,Healthcare,Growth,5009,135,Priya Nair,2025-07-11,94,28.8,0,75.0,6,8,3,0.0,0,4.3,35.4,22.5,30.0,87.9,Healthy,4,93.0
18,Fathom Systems,Education,Starter,543,18,Sofia Torres,2023-03-30,8,300.0,3,87.5,7,8,5,40.0,0,4.47,40.0,26.3,22.0,88.3,Healthy,4,97.0
37,Granite Holdings,Healthcare,Enterprise,39384,9285,Amanda Schembri,2024-08-02,18867,22.3,0,100.0,8,8,3,0.0,1,5.0,34.7,30.0,27.5,92.2,Healthy,4,98.0
31,Vertex Systems,Healthcare,Growth,3466,220,Priya Nair,2022-11-15,155,11.5,0,100.0,8,8,4,0.0,0,5.0,33.7,30.0,30.0,93.7,Healthy,4,100.0
